,City,Country,Latitude,Longtitude,Time of Searching,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Saldanha,PT,41.42,-6.55,2018-08-25 20:18:53.843259,57.26,74,0,1.39
1,Kalmunai,LK,7.42,81.82,2018-08-25 20:18:53.843259,73.28,99,80,2.95
2,Albany,US,42.65,-73.75,2018-08-25 20:18:53.843259,69.46,57,75,11.41
3,Umm Lajj,SA,25.02,37.27,2018-08-25 20:18:53.843259,78.5,100,0,4.07
4,Saint-Philippe,CA,45.36,-73.48,2018-08-25 20:18:53.843259,74.28,52,1,8.05
5,Airai,TL,-8.93,125.41,2018-08-25 20:18:53.843259,72.38,74,0,1.5
6,Ushuaia,AR,-54.81,-68.31,2018-08-25 20:18:53.843259,39.2,80,75,6.93
7,Punta Arenas,CL,-53.16,-70.91,2018-08-25 20:18:53.843259,39.2,86,75,8.05
8,Eureka,US,40.8,-124.16,2018-08-25 20:18:53.843259,59.85,72,1,12.75
9,Saskylakh,RU,71.97,114.09,2018-08-25 20:18:53.843259,47.99,90,0,5.97
10,Beringovskiy,RU,63.05,179.32,2018-08-25 20:18:53.843259,49.52,100,92,9.66
11,Longyearbyen,NO,78.22,15.63,2018-08-25 20:18:53.843259,37.4,69,40,14.99
12,Ilulissat,GL,69.22,-51.1,2018-08-25 20:18:53.843259,39.2,93,75,1.12
13,Hobart,AU,-42.88,147.33,2018-08-25 20:18:53.843259,53.6,54,75,18.34
14,Yellowknife,CA,62.45,-114.38,2018-08-25 20:18:53.843259,53.6,62,75,8.05
15,Bluff,AU,-23.58,149.07,2018-08-25 20:18:53.843259,68.69,71,44,4.52
16,Camacha,PT,33.08,-16.33,2018-08-25 20:18:53.843259,70.83,77,75,11.41
17,Bredasdorp,ZA,-34.53,20.04,2018-08-25 20:18:53.843259,48.2,81,76,12.75
18,Hamilton,BM,32.3,-64.78,2018-08-25 20:18:53.843259,80.6,83,40,5.82
19,Haines Junction,CA,60.75,-137.51,2018-08-25 20:18:53.843259,57.26,40,76,2.51
20,Jamestown,AU,-33.21,138.6,2018-08-25 20:18:53.843259,52.85,64,8,3.96
21,Port Alfred,ZA,-33.59,26.89,2018-08-25 20:18:53.843259,59.96,95,0,7.54
